Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA single nuclei brain specificity"	"RNA single nuclei brain distribution"	"RNA single nuclei brain specificity score"	"RNA single nuclei brain specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Cancer prognostics - Bladder Urothelial Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (validation)"	"Cancer prognostics - Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (validation)"	"Cancer prognostics - Glioblastoma Multiforme (TCGA)"	"Cancer prognostics - Glioblastoma Multiforme (validation)"	"Cancer prognostics - Head and Neck Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Chromophobe (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (validation)"	"Cancer prognostics - Kidney Renal Papillary Cell Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (validation)"	"Cancer prognostics - Lung Adenocarcinoma (TCGA)"	"Cancer prognostics - Lung Adenocarcinoma (validation)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (validation)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (TCGA)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (validation)"	"Cancer prognostics - Pancreatic Adenocarcinoma (TCGA)"	"Cancer prognostics - Pancreatic Adenocarcinoma (validation)"	"Cancer prognostics - Prostate Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (validation)"	"Cancer prognostics - Skin Cuteneous Melanoma (TCGA)"	"Cancer prognostics - Stomach Adenocarcinoma (TCGA)"	"Cancer prognostics - Testicular Germ Cell Tumor (TCGA)"	"Cancer prognostics - Thyroid Carcinoma (TCGA)"	"Cancer prognostics - Uterine Corpus Endometrial Carcinoma (TCGA)"
CELA2B	"ELA2B, RP11-265F14.2"	ENSG00000215704	"Chymotrypsin like elastase 2B"	P08218	1	15465909-15491395	"Enzymes, Predicted intracellular proteins, Predicted secreted proteins"		"Hydrolase, Protease, Serine protease"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	3898	"pancreas: 19804.1"	"Cell type enriched"	"Detected in some"	98	"Exocrine glandular cells: 502.5"	"Low cell type specificity"	"Detected in many"			"Cancer enriched"	"Detected in single"	372	"Pancreatic Adenocarcinoma (TCGA): 181.5"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Pancreas - Exocrine glandular cells"														"Secreted to digestive system"	Enzyme	NA	NA		25000000	"Cluster 46: Basophils - Proteolysis"	"Cluster 15: Pancreas - Proteolysis"	"Cluster 37: Neurons - Mixed function"	"Cluster 7: Liver cancer - Metabolism"	"Cluster 60: Pancreatic exocrine cells - Proteolysis"	14																									"unprognostic (1.36e-1)"	"unprognostic (1.25e-1)"								
CTRB2		ENSG00000168928	"Chymotrypsinogen B2"	Q6GPI1	16	75204103-75207161	"Enzymes, Predicted intracellular proteins, Predicted secreted proteins"	Digestion	"Hydrolase, Protease, Serine protease"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	3540	"pancreas: 95538.0"	"Cell type enriched"	"Detected in some"	9	"Exocrine glandular cells: 29617.7"	"Not detected"	"Not detected"			"Cancer enriched"	"Detected in some"	2908	"Pancreatic Adenocarcinoma (TCGA): 3241.0"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"																	"Secreted to digestive system"	Enzyme	NA	NA				"Cluster 15: Pancreas - Proteolysis"		"Cluster 15: Kidney cancer - Membrane components"	"Cluster 45: Non-specific - Mixed function"																										"unprognostic (2.63e-2)"	"unprognostic (4.75e-4)"						"unprognostic (2.25e-1)"		
PLA2G1B	"PLA2, PLA2A, PPLA2"	ENSG00000170890	"Phospholipase A2 group IB"	P04054	12	120322115-120327779	"Candidate cardiovascular disease genes, Enzymes, FDA approved drug targets, Metabolic proteins, Predicted intracellular proteins, Predicted secreted proteins, RAS pathway related proteins"	"Lipid metabolism, Phospholipid metabolism"	Hydrolase	"FDA approved drug targets"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	2908	"pancreas: 113918.1"	"Cell type enriched"	"Detected in some"	39	"Exocrine glandular cells: 9563.7"	"Not detected"	"Not detected"			"Cancer enriched"	"Detected in many"	83	"Pancreatic Adenocarcinoma (TCGA): 1149.6"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Lung - Alveolar cells type 2, Pancreas - Exocrine glandular cells, Testis - Late spermatids"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"HPA047822, HPA060803"	Enhanced				"Secreted to digestive system"	Enzyme	NA	NA		2100000	"Cluster 43: Non-specific - Transcription & Translation"	"Cluster 15: Pancreas - Proteolysis"		"Cluster 7: Liver cancer - Metabolism"	"Cluster 60: Pancreatic exocrine cells - Proteolysis"	1			"HPA047822: AB_2680169, HPA060803: AB_2684369"			"unprognostic (1.47e-2)"								"unprognostic (1.71e-2)"	"unprognostic (1.62e-1)"		"unprognostic (1.37e-1)"	"unprognostic (6.38e-3)"	"unprognostic (1.77e-3)"	"unprognostic (2.77e-2)"	"unprognostic (3.60e-3)"	"unprognostic (1.89e-1)"	"unprognostic (6.13e-2)"		"unprognostic (1.27e-1)"	"unprognostic (5.41e-2)"					"unprognostic (2.06e-1)"			
CELA3B	"CBPP, ELA3B"	ENSG00000219073	"Chymotrypsin like elastase 3B"	P08861	1	21977022-21998642	"Enzymes, Predicted intracellular proteins, Predicted secreted proteins"		"Hydrolase, Protease, Serine protease"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	2862	"pancreas: 48049.2"	"Cell type enriched"	"Detected in some"	52	"Exocrine glandular cells: 5348.5"	"Not detected"	"Not detected"			"Cancer enriched"	"Detected in single"	1417	"Pancreatic Adenocarcinoma (TCGA): 914.6"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Pancreas - Exocrine glandular cells, Stomach - Chief cells, Testis - Late spermatids"									"HPA028086, HPA045650"	Supported		Approved	Cytosol	"Secreted to digestive system"	Enzyme	NA	NA				"Cluster 15: Pancreas - Proteolysis"		"Cluster 5: Rhabdoid - Unknown function"	"Cluster 60: Pancreatic exocrine cells - Proteolysis"	3	Cytosol		"HPA028086: AB_2672482, HPA045650: AB_2679407"																						"unprognostic (5.30e-2)"	"unprognostic (6.13e-3)"								
CPB1		ENSG00000153002	"Carboxypeptidase B1"	P15086	3	148791102-148860187	"Enzymes, Plasma proteins, Predicted secreted proteins"		"Carboxypeptidase, Hydrolase, Metalloprotease, Protease"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	2733	"pancreas: 219818.0"	"Cell type enriched"	"Detected in some"	5	"Exocrine glandular cells: 3695.2"	"Cell type enhanced"	"Detected in some"		"committed oligodendrocyte precursor: 12.0;oligodendrocyte: 39.8"	"Group enriched"	"Detected in some"	296	"Breast Invasive Carcinoma (TCGA): 1745.6;Pancreatic Adenocarcinoma (TCGA): 2590.0"	"Low region specificity"	"Detected in many"			"Immune cell enhanced"	"Detected in many"		"basophil: 4.0"	"Low lineage specificity"	"Detected in many"			"Cancer enriched"	"Detected in single"	15	"Rhabdoid: 14.4"	"Pancreas - Exocrine glandular cells"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"CAB026158, HPA038069, HPA046340"	Enhanced		Approved	"Endoplasmic reticulum"	"Secreted to digestive system"	Enzyme	NA	NA		78000000	"Cluster 20: Non-specific - DNA binding"	"Cluster 15: Pancreas - Proteolysis"	"Cluster 11: White matter - Signal transduction"	"Cluster 5: Rhabdoid - Unknown function"	"Cluster 60: Pancreatic exocrine cells - Proteolysis"	1	"Endoplasmic reticulum"		"CAB026158: , HPA038069: AB_2675816, HPA046340: AB_2679628"		"unprognostic (1.74e-2)"	"unprognostic (4.36e-2)"													"unprognostic (4.14e-3)"						"unprognostic (2.70e-2)"	"unprognostic (7.97e-3)"	"unprognostic (9.21e-2)"							
CUZD1	"ERG-1, UO-44"	ENSG00000138161	"CUB and zona pellucida like domains 1"	Q86UP6	10	122832158-122846175	"Predicted membrane proteins"	"Cell adhesion, Cell cycle, Cell division"			"Evidence at protein level"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	1623	"pancreas: 2338.0"	"Cell type enriched"	"Detected in some"	42	"Exocrine glandular cells: 71.9"	"Low cell type specificity"	"Detected in many"			"Cancer enriched"	"Detected in single"	79	"Pancreatic Adenocarcinoma (TCGA): 49.4"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Pituitary gland - Somatotropes"	"Not detected"	"Not detected"							"HPA068479, HPA068660, HPA074117"	Enhanced						NA	No				"Cluster 15: Pancreas - Proteolysis"		"Cluster 13: Non-specific - Mixed function"	"Cluster 45: Non-specific - Mixed function"				"HPA068479: AB_2685995, HPA068660: AB_2686015, HPA074117: AB_2686663"			"unprognostic (1.47e-2)"																			"unprognostic (8.46e-2)"	"unprognostic (2.93e-2)"								
CTRL		ENSG00000141086	"Chymotrypsin like"	P40313	16	67927640-67932365	"Enzymes, Predicted secreted proteins"		"Hydrolase, Protease, Serine protease"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	1187	"pancreas: 7243.2"	"Cell type enriched"	"Detected in some"	18	"Exocrine glandular cells: 156.0"	"Low cell type specificity"	"Detected in many"			"Cancer enriched"	"Detected in some"	51	"Pancreatic Adenocarcinoma (TCGA): 86.0"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in some"			"Pancreas - Exocrine glandular cells"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"HPA034504, HPA034505"	Enhanced				"Secreted to digestive system"	Enzyme	NA	NA				"Cluster 15: Pancreas - Proteolysis"	"Cluster 6: Non-specific - Immune response"	"Cluster 35: RS4;11 - Unknown function"	"Cluster 60: Pancreatic exocrine cells - Proteolysis"	5			"HPA034504: AB_2674196, HPA034505: AB_10602212"			"unprognostic (8.83e-3)"			"unprognostic (1.79e-2)"	"unprognostic (3.13e-2)"								"unprognostic (2.10e-1)"							"unprognostic (1.55e-1)"	"unprognostic (2.14e-1)"			"unprognostic (6.81e-2)"			"unprognostic (3.88e-2)"		
SYCN	"FLJ27441, INSSA1, SYL"	ENSG00000179751	Syncollin	Q0VAF6	19	39202825-39204263	"Predicted intracellular proteins"	Exocytosis			"Evidence at protein level"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	999	"pancreas: 27446.4"	"Cell type enriched"	"Detected in some"	12	"Exocrine glandular cells: 2281.6"	"Not detected"	"Not detected"			"Cancer enriched"	"Detected in single"	865	"Pancreatic Adenocarcinoma (TCGA): 449.1"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Pancreas - Exocrine glandular cells, Testis - Sertoli cells"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in single"			HPA047654	Enhanced				"Intracellular and membrane"	Other	NA	NA		520000		"Cluster 15: Pancreas - Proteolysis"		"Cluster 10: Ciliated cells - Ion channel activity"	"Cluster 60: Pancreatic exocrine cells - Proteolysis"	2			"HPA047654: AB_2680112"																						"unprognostic (8.03e-2)"	"unprognostic (3.92e-2)"								
GP2	ZAP75	ENSG00000169347	"Glycoprotein 2"	P55259	16	20309574-20327808	"Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins"	"Immunity, Innate immunity"	Receptor		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	964	"pancreas: 34245.9"	"Group enriched"	"Detected in some"	7	"Cholangiocytes: 101.1;Exocrine glandular cells: 233.8;Prostatic glandular cells: 176.0"	"Not detected"	"Not detected"			"Cancer enriched"	"Detected in many"	11	"Pancreatic Adenocarcinoma (TCGA): 556.6"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"breast cancer: 4.4"	"Kidney - Ascending Loop of Henle cells, Prostate - Prostate glandular cells"	"Not detected"	"Not detected"			"Region enriched"	"Detected in single"	10	"midbrain: 1.0"	"HPA015739, HPA016668"	Enhanced				"Secreted to digestive system"	Receptor	NA	NA		60000		"Cluster 15: Pancreas - Proteolysis"	"Cluster 48: Non-specific - Mixed function"	"Cluster 27: Breast cancer - Unknown function"	"Cluster 60: Pancreatic exocrine cells - Proteolysis"				"HPA015739: AB_1849905, HPA016668: AB_1849907"		"unprognostic (1.84e-1)"	"unprognostic (5.82e-2)"		"unprognostic (1.15e-1)"	"unprognostic (7.68e-3)"			"unprognostic (9.70e-2)"					"unprognostic (1.24e-2)"	"unprognostic (1.95e-1)"	"unprognostic (5.81e-2)"	"unprognostic (2.19e-2)"	"unprognostic (1.69e-1)"	"unprognostic (2.84e-1)"			"unprognostic (1.71e-1)"	"unprognostic (2.63e-1)"	"unprognostic (8.47e-2)"		"unprognostic (2.21e-3)"		"unprognostic (1.58e-1)"			"unprognostic (3.15e-2)"
CEL	"BSSL, MODY8"	ENSG00000170835	"Carboxyl ester lipase"	P19835	9	133061981-133071861	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted secreted proteins"	"Lipid degradation, Lipid metabolism"	"Hydrolase, Serine esterase"	"Diabetes mellitus"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	545	"pancreas: 107112.3"	"Group enriched"	"Detected in some"	21	"Breast glandular cells: 371.9;Exocrine glandular cells: 517.2"	"Low cell type specificity"	"Detected in many"			"Cancer enriched"	"Detected in many"	21	"Pancreatic Adenocarcinoma (TCGA): 837.8"	"Region enriched"	"Detected in all"	4	"choroid plexus: 24.7"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"colorectal cancer: 16.1"	"Pancreas - Exocrine glandular cells, Pituitary gland - Corticotropes"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			"HPA008023, HPA052701"	Enhanced				"Secreted to digestive system"	Enzyme	NA	NA		250000		"Cluster 15: Pancreas - Proteolysis"	"Cluster 23: Choroid plexus - Mixed function"	"Cluster 10: Ciliated cells - Ion channel activity"	"Cluster 60: Pancreatic exocrine cells - Proteolysis"				"HPA008023: AB_1846509, HPA052701: AB_2681921"	"unprognostic (4.88e-2)"	"unprognostic (4.27e-4)"	"unprognostic (5.27e-2)"	"unprognostic (2.97e-2)"	"unprognostic (5.36e-2)"	"unprognostic (1.03e-2)"	"unprognostic (3.17e-1)"		"unprognostic (1.49e-1)"	"unprognostic (3.39e-1)"	"unprognostic (8.56e-7)"		"unprognostic (1.34e-2)"	"unprognostic (7.07e-2)"		"unprognostic (5.96e-3)"	"unprognostic (4.00e-2)"	"unprognostic (5.09e-1)"	"unprognostic (6.33e-2)"	"unprognostic (2.76e-2)"	"unprognostic (4.63e-2)"	"unprognostic (2.11e-1)"	"unprognostic (4.42e-4)"	"unprognostic (4.69e-2)"	"unprognostic (2.92e-1)"	"unprognostic (1.72e-1)"		"unprognostic (4.10e-2)"	"unprognostic (3.27e-1)"		"unprognostic (2.48e-1)"
AQP8		ENSG00000103375	"Aquaporin 8"	O94778	16	25215731-25228932	"Metabolic proteins, Predicted membrane proteins, Transporters"	Transport			"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	485	"intestine: 318.6;pancreas: 1239.8"	"Cell type enriched"	"Detected in some"	63	"Distal enterocytes: 1875.8"	"Low cell type specificity"	"Detected in some"			"Cancer enhanced"	"Detected in some"		"Colon Adenocarcinoma (TCGA): 9.7;Pancreatic Adenocarcinoma (TCGA): 17.0;Rectum Adenocarcinoma (TCGA): 8.7"	"Low region specificity"	"Detected in some"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Colon - Colon enterocytes, Pancreas - Exocrine glandular cells"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			HPA046259	Enhanced						NA	NA				"Cluster 15: Pancreas - Proteolysis"	"Cluster 15: Non-specific - Transcription"	"Cluster 57: Stomach & Colon cancer - Digestion"	"Cluster 5: Enterocytes - Absorption"	11			"HPA046259: AB_10960494"			"unprognostic (8.76e-2)"		"unprognostic (4.30e-2)"	"unprognostic (7.28e-2)"								"unprognostic (8.85e-2)"	"unprognostic (3.74e-4)"							"unprognostic (1.27e-2)"			"unprognostic (2.13e-2)"	"unprognostic (9.32e-2)"					
PRSS2	TRY2	ENSG00000275896	"Serine protease 2"	P07478	7	142760398-142774564	"Enzymes, Human disease related genes, Plasma proteins, Predicted secreted proteins"	Digestion	"Hydrolase, Protease, Serine protease"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	452	"pancreas: 232476.3"	"Cell type enriched"	"Detected in some"	22	"Exocrine glandular cells: 56266.6"	"Not detected"	"Not detected"			"Cancer enriched"	"Detected in many"	64	"Pancreatic Adenocarcinoma (TCGA): 3516.9"	"Not detected"	"Not detected"			"Group enriched"	"Detected in some"	8	"basophil: 4.1;T-reg: 2.9"	"Group enriched"	"Detected in many"	8	"granulocytes: 4.1;T-cells: 2.9"	"Cancer enhanced"	"Detected in many"		"Myeloma: 203.2;pancreatic cancer: 63.8"										"HPA062452, HPA063471"	Supported		Approved	"Endoplasmic reticulum,Vesicles"	"Secreted to digestive system"	Enzyme	NA	NA		1600000000		"Cluster 15: Pancreas - Proteolysis"		"Cluster 51: Myeloma - Immunoglobulins"	"Cluster 60: Pancreatic exocrine cells - Proteolysis"	6	Vesicles	"Endoplasmic reticulum"	"HPA062452: AB_2684768, HPA063471: AB_2685017"	"unprognostic (3.08e-1)"	"unprognostic (2.37e-2)"			"unprognostic (1.56e-1)"	"unprognostic (7.84e-2)"										"unprognostic (3.80e-1)"	"unprognostic (1.15e-2)"	"unprognostic (2.03e-1)"	"unprognostic (2.51e-2)"	"unprognostic (2.27e-3)"		"unprognostic (2.13e-2)"			"unprognostic (1.01e-1)"	"unprognostic (8.08e-2)"		"unprognostic (1.29e-2)"		"unprognostic (1.16e-2)"	"unprognostic (1.20e-4)"
CPA2		ENSG00000158516	"Carboxypeptidase A2"	P48052	7	130266863-130289798	"Enzymes, Metabolic proteins, Predicted secreted proteins"		"Carboxypeptidase, Hydrolase, Metalloprotease, Protease"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	414	"pancreas: 43929.6"	"Cell type enriched"	"Detected in some"	12	"Exocrine glandular cells: 2649.0"	"Cell type enriched"	"Detected in some"	5	"oligodendrocyte: 6.8"	"Cancer enriched"	"Detected in many"	48	"Pancreatic Adenocarcinoma (TCGA): 583.7"	"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"skin cancer: 2.2"	"Pancreas - Exocrine glandular cells, Stomach - Parietal cells"	"Low region specificity"	"Detected in all"			"Not detected"	"Not detected"			"HPA020342, HPA021317"	Enhanced		Approved	"Golgi apparatus"	"Secreted to digestive system"	Enzyme	NA	NA		1000000		"Cluster 15: Pancreas - Proteolysis"	"Cluster 30: White matter - Myelination"	"Cluster 66: Non-specific - Mitochondria"	"Cluster 60: Pancreatic exocrine cells - Proteolysis"	1	"Golgi apparatus"		"HPA020342: AB_1846007, HPA021317: AB_1846008"			"unprognostic (3.96e-1)"							"unprognostic (1.75e-2)"				"unprognostic (2.42e-2)"						"unprognostic (2.65e-1)"		"unprognostic (2.01e-1)"	"unprognostic (4.28e-3)"				"unprognostic (8.09e-2)"	"unprognostic (1.35e-1)"	"unprognostic (1.46e-1)"		
AQP12B	INSSA3	ENSG00000185176	"Aquaporin 12B"	A6NM10	2	240676418-240682906	"Predicted membrane proteins"	Transport			"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	328	"pancreas: 203.1"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in single"	4	"Pancreatic Adenocarcinoma (TCGA): 2.3"	"Low region specificity"	"Detected in some"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Colon - Colon enteroendocrine cells"									HPA042216	Supported						NA	NA				"Cluster 15: Pancreas - Proteolysis"	"Cluster 24: Neurons - Mixed function"	"Cluster 10: Ciliated cells - Ion channel activity"	"Cluster 5: Enterocytes - Absorption"				"HPA042216: AB_2677905"																						"unprognostic (1.13e-1)"									
AQP12A	AQP12	ENSG00000184945	"Aquaporin 12A"	Q8IXF9	2	240691866-240698483	"Predicted membrane proteins, Transporters"	Transport			"Evidence at protein level"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Tissue enriched"	"Detected in single"	326	"pancreas: 101.9"	"Cell type enhanced"	"Detected in single"		"Proximal enterocytes: 1.3"					"Cancer enriched"	"Detected in single"	4	"Pancreatic Adenocarcinoma (TCGA): 1.2"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"												HPA042216	Supported						NA	NA				"Cluster 15: Pancreas - Proteolysis"		"Cluster 10: Ciliated cells - Ion channel activity"	"Cluster 22: Proximal enterocytes - Digestion"				"HPA042216: AB_2677905"																						"unprognostic (2.24e-1)"	"unprognostic (5.35e-2)"								
RBPJL	"RBP-L, RBPSUHL, SUH, SUHL"	ENSG00000124232	"Recombination signal binding protein for immunoglobulin kappa J region like"	Q9UBG7	20	45306840-45317824	"Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	DNA-binding		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	269	"pancreas: 944.9"	"Cell type enhanced"	"Detected in single"		"Spermatogonia: 1.0"	"Cell type enhanced"	"Detected in single"		"miscellaneous: 1.1"	"Cancer enhanced"	"Detected in some"		"Pancreatic Adenocarcinoma (TCGA): 4.7"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Stomach - Gastric enteroendocrine cells"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			CAB006846	Enhanced						NA	NA				"Cluster 15: Pancreas - Proteolysis"		"Cluster 59: Leukemia - T-cell receptor"	"Cluster 60: Pancreatic exocrine cells - Proteolysis"				"CAB006846: "																				"unprognostic (5.23e-2)"		"unprognostic (1.65e-1)"									
